Ativo;Strike;Vencimento
BOVAP104;104.0;19/04/2024
BOVAP124;125.0;19/04/2024
BOVAP113;113.0;19/04/2024
BOVAP103;103.0;19/04/2024
BOVAP102;102.0;19/04/2024
BOVAP101;101.0;19/04/2024
BOVAP106;106.0;19/04/2024
BOVAE15;150.0;17/05/2024
BOVAQ115;115.0;17/05/2024
BOVAE12;120.0;17/05/2024
BOVAQ15;150.0;17/05/2024
BOVAQ12;120.0;17/05/2024
BOVAE115;115.0;17/05/2024
BOVAF118;118.0;21/06/2024
BOVAR111;116.0;21/06/2024
BOVAF111;116.0;21/06/2024
BOVAR118;118.0;21/06/2024
BOVAF120;120.0;21/06/2024
BOVAF139;139.0;21/06/2024
BOVAR125;125.0;21/06/2024
BOVAF125;125.0;21/06/2024
BOVAR110;110.0;21/06/2024
BOVAF110;110.0;21/06/2024
BOVAR158;158.0;21/06/2024
BOVAR136;136.0;21/06/2024
BOVAF158;158.0;21/06/2024
BOVAR139;139.0;21/06/2024
BOVAF135;135.0;21/06/2024
BOVAF160;160.0;21/06/2024
BOVAF136;136.0;21/06/2024
BOVAF105;105.0;21/06/2024
BOVAR160;160.0;21/06/2024
BOVAR135;135.0;21/06/2024
BOVAR120;120.0;21/06/2024
BOVAR105;105.0;21/06/2024
BOVAS711;112.0;19/07/2024
BOVAG11;110.0;19/07/2024
BOVAS11;110.0;19/07/2024
BOVAG119;125.0;19/07/2024
BOVAG120;120.0;19/07/2024
BOVAS119;125.0;19/07/2024
BOVAG711;112.0;19/07/2024
BOVAS120;120.0;19/07/2024
BOVAS82;82.0;19/07/2024
BOVAG82;82.0;19/07/2024
BOVAH500;50.0;16/08/2024
BOVAT500;50.0;16/08/2024
BOVAT200;200.0;16/08/2024
BOVAH215;215.0;16/08/2024
BOVAT215;215.0;16/08/2024
BOVAH200;200.0;16/08/2024
BOVAH150;150.0;16/08/2024
BOVAH120;120.0;16/08/2024
BOVAT120;120.0;16/08/2024
BOVAT11;115.0;16/08/2024
BOVAT150;150.0;16/08/2024
BOVAH600;60.0;16/08/2024
BOVAH105;105.0;16/08/2024
BOVAT105;105.0;16/08/2024
BOVAH11;115.0;16/08/2024
BOVAH125;125.0;16/08/2024
BOVAT125;125.0;16/08/2024
BOVAT600;60.0;16/08/2024
BOVAH110;110.0;16/08/2024
BOVAT110;110.0;16/08/2024
BOVAI150;150.0;20/09/2024
BOVAU150;150.0;20/09/2024
BOVAV12;120.0;18/10/2024
BOVAJ110;110.0;18/10/2024
BOVAV110;110.0;18/10/2024
BOVAJ12;120.0;18/10/2024
BOVAL145;145.0;20/12/2024
BOVAL252;120.0;20/12/2024
BOVAL100;100.0;20/12/2024
BOVAX103;104.0;20/12/2024
BOVAX95;95.0;20/12/2024
BOVAX125;125.0;20/12/2024
BOVAX900;90.0;20/12/2024
BOVAX100;100.0;20/12/2024
BOVAX112;112.0;20/12/2024
BOVAX104;105.0;20/12/2024
BOVAL125;125.0;20/12/2024
BOVAL103;104.0;20/12/2024
BOVAX252;120.0;20/12/2024
BOVAX50;150.0;20/12/2024
BOVAL154;155.0;20/12/2024
BOVAX145;145.0;20/12/2024
BOVAX154;155.0;20/12/2024
BOVAX85;85.0;20/12/2024
BOVAL85;85.0;20/12/2024
BOVAL900;90.0;20/12/2024
BOVAX800;80.0;20/12/2024
BOVAL50;150.0;20/12/2024
BOVAL800;80.0;20/12/2024
BOVAX16;160.0;20/12/2024
BOVAL198;110.0;20/12/2024
BOVAX215;130.0;20/12/2024
BOVAX139;140.0;20/12/2024
BOVAL215;130.0;20/12/2024
BOVAL139;140.0;20/12/2024
BOVAX198;110.0;20/12/2024
BOVAL16;160.0;20/12/2024
BOVAL95;95.0;20/12/2024
BOVAL112;112.0;20/12/2024
BOVAL104;105.0;20/12/2024
BOVAM850;85.0;17/01/2025
BOVAM120;120.0;17/01/2025
BOVAM860;86.0;17/01/2025
BOVAM990;99.0;17/01/2025
BOVAM890;89.0;17/01/2025
BOVAM980;98.0;17/01/2025
BOVAM900;90.0;17/01/2025
BOVAM970;97.0;17/01/2025
BOVAM810;81.0;17/01/2025
BOVAA100;100.0;17/01/2025
BOVAM820;82.0;17/01/2025
BOVAM830;83.0;17/01/2025
BOVAA120;120.0;17/01/2025
BOVAM800;80.0;17/01/2025
BOVAA750;75.0;17/01/2025
BOVAM100;100.0;17/01/2025
BOVAM840;84.0;17/01/2025
BOVAM910;91.0;17/01/2025
BOVAM920;92.0;17/01/2025
BOVAM750;75.0;17/01/2025
BOVAM960;96.0;17/01/2025
BOVAM950;95.0;17/01/2025
BOVAM880;88.0;17/01/2025
BOVAM870;87.0;17/01/2025
BOVAM790;79.0;17/01/2025
BOVAM940;94.0;17/01/2025
BOVAA800;80.0;17/01/2025
BOVAA810;81.0;17/01/2025
BOVAA820;82.0;17/01/2025
BOVAA830;83.0;17/01/2025
BOVAA840;84.0;17/01/2025
BOVAA850;85.0;17/01/2025
BOVAA860;86.0;17/01/2025
BOVAA870;87.0;17/01/2025
BOVAA880;88.0;17/01/2025
BOVAA890;89.0;17/01/2025
BOVAA990;99.0;17/01/2025
BOVAA900;90.0;17/01/2025
BOVAA920;92.0;17/01/2025
BOVAA930;93.0;17/01/2025
BOVAA940;94.0;17/01/2025
BOVAA950;95.0;17/01/2025
BOVAA960;96.0;17/01/2025
BOVAA780;78.0;17/01/2025
BOVAA790;79.0;17/01/2025
BOVAA970;97.0;17/01/2025
BOVAA980;98.0;17/01/2025
BOVAM780;78.0;17/01/2025
BOVAA910;91.0;17/01/2025
BOVAM930;93.0;17/01/2025
BOVAB800;80.0;21/02/2025
BOVAN150;150.0;21/02/2025
BOVAN500;50.0;21/02/2025
BOVAB850;85.0;21/02/2025
BOVAB830;83.0;21/02/2025
BOVAB780;78.0;21/02/2025
BOVAB750;75.0;21/02/2025
BOVAB100;100.0;21/02/2025
BOVAB880;88.0;21/02/2025
BOVAB150;150.0;21/02/2025
BOVAB500;50.0;21/02/2025
BOVAB900;90.0;21/02/2025
BOVAN980;98.0;21/02/2025
BOVAN950;95.0;21/02/2025
BOVAN930;93.0;21/02/2025
BOVAN900;90.0;21/02/2025
BOVAN880;88.0;21/02/2025
BOVAN850;85.0;21/02/2025
BOVAN830;83.0;21/02/2025
BOVAN780;78.0;21/02/2025
BOVAN750;75.0;21/02/2025
BOVAN120;120.0;21/02/2025
BOVAN100;100.0;21/02/2025
BOVAB980;98.0;21/02/2025
BOVAN800;80.0;21/02/2025
BOVAB950;95.0;21/02/2025
BOVAB120;120.0;21/02/2025
BOVAB930;93.0;21/02/2025
BOVAC500;50.0;21/03/2025
BOVAC150;150.0;21/03/2025
BOVAO500;50.0;21/03/2025
BOVAO150;150.0;21/03/2025
BOVAP11;115.0;17/04/2025
BOVAD145;145.0;17/04/2025
BOVAP15;150.0;17/04/2025
BOVAD11;115.0;17/04/2025
BOVAP40;140.0;17/04/2025
BOVAD109;110.0;17/04/2025
BOVAP145;145.0;17/04/2025
BOVAP16;160.0;17/04/2025
BOVAD899;90.0;17/04/2025
BOVAD16;160.0;17/04/2025
BOVAP109;110.0;17/04/2025
BOVAD15;150.0;17/04/2025
BOVAP12;120.0;17/04/2025
BOVAD12;120.0;17/04/2025
BOVAD135;135.0;17/04/2025
BOVAD25;125.0;17/04/2025
BOVAP10;100.0;17/04/2025
BOVAP135;135.0;17/04/2025
BOVAD40;140.0;17/04/2025
BOVAP80;80.0;17/04/2025
BOVAP899;90.0;17/04/2025
BOVAP25;125.0;17/04/2025
BOVAD80;80.0;17/04/2025
BOVAD10;100.0;17/04/2025
BOVAQ149;150.0;16/05/2025
BOVAE149;150.0;16/05/2025
BOVAG13;130.0;18/07/2025
BOVAG221;122.0;18/07/2025
BOVAS221;122.0;18/07/2025
BOVAS114;115.0;18/07/2025
BOVAG131;132.0;18/07/2025
BOVAS131;132.0;18/07/2025
BOVAG411;114.0;18/07/2025
BOVAG133;133.0;18/07/2025
BOVAS133;133.0;18/07/2025
BOVAG114;115.0;18/07/2025
BOVAS13;130.0;18/07/2025
BOVAS411;114.0;18/07/2025
BOVAH119;120.0;15/08/2025
BOVAT155;155.0;15/08/2025
BOVAT104;105.0;15/08/2025
BOVAH109;110.0;15/08/2025
BOVAH800;80.0;15/08/2025
BOVAH155;155.0;15/08/2025
BOVAT109;110.0;15/08/2025
BOVAH104;105.0;15/08/2025
BOVAT114;115.0;15/08/2025
BOVAT140;140.0;15/08/2025
BOVAH12;125.0;15/08/2025
BOVAT12;125.0;15/08/2025
BOVAH18;118.0;15/08/2025
BOVAH34;134.0;15/08/2025
BOVAT18;118.0;15/08/2025
BOVAT34;134.0;15/08/2025
BOVAH13;130.0;15/08/2025
BOVAT13;130.0;15/08/2025
BOVAT119;120.0;15/08/2025
BOVAH149;150.0;15/08/2025
BOVAH631;136.0;15/08/2025
BOVAT631;136.0;15/08/2025
BOVAH135;135.0;15/08/2025
BOVAT135;135.0;15/08/2025
BOVAH10;100.0;15/08/2025
BOVAH114;115.0;15/08/2025
BOVAT10;100.0;15/08/2025
BOVAT800;80.0;15/08/2025
BOVAT149;150.0;15/08/2025
BOVAH140;140.0;15/08/2025
